变量,英文变量,来源列,角色,样本量,均值,标准差,最小值,25%分位,中位数,75%分位,最大值
碳排放强度,Carbon emission intensity,co2_emission_intensity,主结果变量,1456,14.6691,16.9532,1.432,6.0077,9.8553,16.7578,198.5941
碳排放总量,Total carbon emissions,co2_emission_total,稳健性结果变量,1456,34046.4204,40815.1023,929.8957,12474.8897,23344.509,44598.2385,440958.3002
数字普惠金融指数,Digital inclusive finance index,digital_inclusive_finance_index,处理变量,1456,275.5286,31.6054,192.3858,252.0661,275.1887,297.136,373.2215
覆盖广度,Coverage breadth,dfi_coverage_breadth,数字金融分项,1456,282.5982,44.1354,179.5993,246.7704,284.8138,313.0841,408.2614
使用深度,Usage depth,dfi_usage_depth,数字金融分项,1456,250.4614,28.5537,165.8475,230.8338,248.9009,268.7002,354.3049
数字化程度,Digitization level,dfi_digitization_level,数字金融分项,1456,297.7528,16.3626,247.127,286.2424,297.185,309.4121,342.368
地区生产总值,GDP,gdp_total,当前主规格控制变量,1456,3690.136,5304.6472,187.0,1100.75,2107.0,3750.75,47219.0
第二产业占比,Secondary industry share,secondary_industry_share,当前主规格控制变量,1456,39.3834,10.4484,10.68,33.245,39.65,45.875,73.03
财政支出,Fiscal expenditure,fiscal_expenditure,当前主规格控制变量,1456,5988317.8915,8384544.5681,268050.0,2709121.75,4099725.0,6228835.5,96385132.0
人口规模（候选控制）,Population size (candidate control),population_control_candidate,候选控制变量，未锁定,1456,453.6209,356.9442,21.0,228.0,372.0,579.0,3416.0
