iteration,placebo_ate,placebo_std_error,placebo_p_value,true_ate,outcome_column,treatment_column
1,0.051647374511147745,0.02152627377857489,0.016427730607898892,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
2,0.00379693378364553,0.024388805450703984,0.8762825298398016,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
3,-0.016220353749105843,0.01448728669977373,0.26287285071117494,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
4,-0.011582215823768742,0.014747989835732748,0.432253077328256,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
5,-0.006070189873946181,0.018228546106887088,0.7391308038463492,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
6,-0.02706657218822608,0.021335135747295803,0.2045700668156888,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
7,-0.0035243852449178825,0.01576097700465063,0.8230571687743742,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
8,0.01156893935464544,0.015136600438936327,0.4446870826045134,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
9,0.03475053186005346,0.016565409360710857,0.0359248646198582,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
10,-0.01924744021314266,0.022015738431901813,0.38197764857904826,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
11,0.01233812033598455,0.013058587794031098,0.3447466574421414,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
12,0.04262341855932153,0.02008508573694532,0.03382575456940347,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
13,0.013312815892707818,0.014413925593163204,0.35569048675306647,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
14,-0.004753957875875047,0.0209627136128518,0.8205935667557537,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
15,-0.00827011566945869,0.016016585267633377,0.6056120791256245,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
16,-0.009537862682191289,0.01278804725050878,0.45576286784339415,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
17,0.020831873012522744,0.015244627508606994,0.17178023896740424,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
18,0.00524502780935517,0.012546599203234067,0.6759151052591884,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
19,-0.009452476252302342,0.032307632478590004,0.7698453526761648,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
20,0.013449595014565711,0.014203423665592194,0.3436763497710459,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
21,-0.002368636849620094,0.01811467494313391,0.8959668281300867,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
22,-0.0038299981236205264,0.018928221091287334,0.8396483760669968,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
23,0.027582901178419432,0.015794852895480032,0.08075499224473738,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
24,0.012062651698223943,0.021615270316202594,0.5768023412328941,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
25,0.012379004308999741,0.01770938143317767,0.4845468544199997,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
26,-0.016156312736006664,0.017932021345660198,0.3676013214224413,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
27,0.02108350334552158,0.0154828837234342,0.1732831895866307,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
28,-0.009989991886647839,0.03019445863261879,0.7407539072035582,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
29,0.014419823891422306,0.015416095080042318,0.349595278042769,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
30,0.0039049695419119033,0.012609822169325963,0.7568067370923367,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
31,0.01091661633715539,0.019548455828411748,0.5765447799917869,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
32,-0.004031336010061171,0.011588825976486151,0.7279422803897864,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
33,0.024653540635833596,0.017635208055843003,0.1621212446799981,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
34,0.03214195644549307,0.018804712652745956,0.08740463747606916,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
35,0.01915517435612555,0.017323196122128095,0.26883348620668024,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
36,0.019719910182797437,0.014974718068725754,0.18787877412938192,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
37,-0.006029158998468242,0.017049740501481298,0.7236223754083417,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
38,-0.0013639437113467283,0.014898210513754595,0.9270549100365852,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
39,0.017096310168690457,0.01587816932822097,0.28160628395221465,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
40,-0.023348245301199153,0.014506499410901444,0.10750653540344421,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
41,0.00821022371514944,0.018856687125846604,0.6632712582543012,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
42,-0.01133745664133332,0.025713590520931938,0.6592759733616604,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
