Variable,碳排放强度,碳排放总量,数字普惠金融,覆盖广度,使用深度,数字化程度,GDP,第二产业占比,财政支出,人口候选变量
碳排放强度,1.0,0.433,-0.236,-0.171,-0.298,-0.313,-0.223,-0.033,-0.17,-0.222
碳排放总量,0.433,1.0,0.28,0.245,0.267,0.284,0.608,0.035,0.648,0.496
数字普惠金融,-0.236,0.28,1.0,0.966,0.754,0.821,0.516,0.232,0.381,0.278
覆盖广度,-0.171,0.245,0.966,1.0,0.565,0.723,0.431,0.215,0.312,0.203
使用深度,-0.298,0.267,0.754,0.565,1.0,0.713,0.549,0.209,0.42,0.334
数字化程度,-0.313,0.284,0.821,0.723,0.713,1.0,0.522,0.171,0.401,0.42
GDP,-0.223,0.608,0.516,0.431,0.549,0.522,1.0,-0.015,0.941,0.737
第二产业占比,-0.033,0.035,0.232,0.215,0.209,0.171,-0.015,1.0,-0.116,-0.109
财政支出,-0.17,0.648,0.381,0.312,0.42,0.401,0.941,-0.116,1.0,0.726
人口候选变量,-0.222,0.496,0.278,0.203,0.334,0.42,0.737,-0.109,0.726,1.0
